r,c,lon,lat,lst
0.0,0.0,88.2,22.7,35.9
0.0,1.0,88.20508474576272,22.7,34.8
0.0,2.0,88.21016949152542,22.7,36.6
0.0,3.0,88.21525423728814,22.7,35.0
0.0,4.0,88.22033898305085,22.7,33.9
0.0,5.0,88.22542372881357,22.7,35.3
0.0,6.0,88.23050847457627,22.7,34.0
0.0,7.0,88.23559322033898,22.7,35.0
0.0,8.0,88.2406779661017,22.7,34.7
0.0,9.0,88.24576271186442,22.7,33.6
0.0,10.0,88.25084745762712,22.7,34.2
0.0,11.0,88.25593220338983,22.7,35.0
0.0,12.0,88.26101694915255,22.7,34.9
0.0,13.0,88.26610169491525,22.7,35.0
0.0,14.0,88.27118644067797,22.7,35.6
0.0,15.0,88.27627118644068,22.7,37.4
0.0,16.0,88.2813559322034,22.7,37.5
0.0,17.0,88.2864406779661,22.7,37.7
0.0,18.0,88.29152542372881,22.7,34.5
0.0,19.0,88.29661016949153,22.7,38.6
0.0,20.0,88.30169491525425,22.7,36.0
0.0,21.0,88.30677966101695,22.7,35.1
0.0,22.0,88.31186440677966,22.7,33.8
0.0,23.0,88.31694915254238,22.7,36.6
0.0,24.0,88.32203389830508,22.7,37.5
0.0,25.0,88.3271186440678,22.7,37.3
0.0,26.0,88.33220338983051,22.7,36.9
0.0,27.0,88.33728813559323,22.7,37.3
0.0,28.0,88.34237288135593,22.7,38.1
0.0,29.0,88.34745762711864,22.7,39.0
0.0,30.0,88.35254237288136,22.7,37.2
0.0,31.0,88.35762711864407,22.7,37.9
0.0,32.0,88.36271186440678,22.7,29.9
0.0,33.0,88.36779661016949,22.7,37.8
0.0,34.0,88.37288135593221,22.7,39.0
0.0,35.0,88.37796610169492,22.7,40.0
0.0,36.0,88.38305084745762,22.7,38.5
0.0,37.0,88.38813559322034,22.7,38.2
0.0,38.0,88.39322033898306,22.7,37.5
0.0,39.0,88.39830508474576,22.7,37.0
0.0,40.0,88.40338983050847,22.7,38.8
0.0,41.0,88.40847457627119,22.7,37.7
0.0,42.0,88.4135593220339,22.7,36.6
0.0,43.0,88.4186440677966,22.7,37.3
0.0,44.0,88.42372881355932,22.7,34.0
0.0,45.0,88.42881355932204,22.7,38.0
0.0,46.0,88.43389830508475,22.7,41.0
0.0,47.0,88.43898305084745,22.7,36.4
0.0,48.0,88.44406779661017,22.7,36.6
0.0,49.0,88.44915254237289,22.7,37.7
0.0,50.0,88.45423728813559,22.7,36.0
0.0,51.0,88.4593220338983,22.7,38.2
0.0,52.0,88.46440677966102,22.7,37.4
0.0,53.0,88.46949152542373,22.7,38.7
0.0,54.0,88.47457627118644,22.7,36.3
0.0,55.0,88.47966101694915,22.7,36.3
0.0,56.0,88.48474576271187,22.7,37.8
0.0,57.0,88.48983050847458,22.7,36.3
0.0,58.0,88.49491525423728,22.7,36.4
0.0,59.0,88.5,22.7,36.5
1.0,0.0,88.2,22.694915254237287,32.7
1.0,1.0,88.20508474576272,22.694915254237287,36.7
1.0,2.0,88.21016949152542,22.694915254237287,36.4
1.0,3.0,88.21525423728814,22.694915254237287,35.3
1.0,4.0,88.22033898305085,22.694915254237287,32.7
1.0,5.0,88.22542372881357,22.694915254237287,35.2
1.0,6.0,88.23050847457627,22.694915254237287,36.0
1.0,7.0,88.23559322033898,22.694915254237287,36.2
1.0,8.0,88.2406779661017,22.694915254237287,35.1
1.0,9.0,88.24576271186442,22.694915254237287,34.1
1.0,10.0,88.25084745762712,22.694915254237287,33.8
1.0,11.0,88.25593220338983,22.694915254237287,34.9
1.0,12.0,88.26101694915255,22.694915254237287,34.1
1.0,13.0,88.26610169491525,22.694915254237287,35.8
1.0,14.0,88.27118644067797,22.694915254237287,35.5
1.0,15.0,88.27627118644068,22.694915254237287,35.9
1.0,16.0,88.2813559322034,22.694915254237287,36.4
1.0,17.0,88.2864406779661,22.694915254237287,37.0
1.0,18.0,88.29152542372881,22.694915254237287,40.0
1.0,19.0,88.29661016949153,22.694915254237287,38.5
1.0,20.0,88.30169491525425,22.694915254237287,37.7
1.0,21.0,88.30677966101695,22.694915254237287,35.2
1.0,22.0,88.31186440677966,22.694915254237287,35.0
1.0,23.0,88.31694915254238,22.694915254237287,37.0
1.0,24.0,88.32203389830508,22.694915254237287,36.4
1.0,25.0,88.3271186440678,22.694915254237287,33.4
1.0,26.0,88.33220338983051,22.694915254237287,33.4
1.0,27.0,88.33728813559323,22.694915254237287,35.5
1.0,28.0,88.34237288135593,22.694915254237287,37.9
1.0,29.0,88.34745762711864,22.694915254237287,36.2
1.0,30.0,88.35254237288136,22.694915254237287,37.9
1.0,31.0,88.35762711864407,22.694915254237287,38.7
1.0,32.0,88.36271186440678,22.694915254237287,30.1
1.0,33.0,88.36779661016949,22.694915254237287,38.0
1.0,34.0,88.37288135593221,22.694915254237287,43.1
1.0,35.0,88.37796610169492,22.694915254237287,40.0
1.0,36.0,88.38305084745762,22.694915254237287,39.2
1.0,37.0,88.38813559322034,22.694915254237287,33.9
1.0,38.0,88.39322033898306,22.694915254237287,38.3
1.0,39.0,88.39830508474576,22.694915254237287,38.2
1.0,40.0,88.40338983050847,22.694915254237287,38.6
1.0,41.0,88.40847457627119,22.694915254237287,39.2
1.0,42.0,88.4135593220339,22.694915254237287,38.1
1.0,43.0,88.4186440677966,22.694915254237287,39.3
1.0,44.0,88.42372881355932,22.694915254237287,37.9
1.0,45.0,88.42881355932204,22.694915254237287,38.4
1.0,46.0,88.43389830508475,22.694915254237287,37.4
1.0,47.0,88.43898305084745,22.694915254237287,38.0
1.0,48.0,88.44406779661017,22.694915254237287,37.3
1.0,49.0,88.44915254237289,22.694915254237287,37.1
1.0,50.0,88.45423728813559,22.694915254237287,39.9
1.0,51.0,88.4593220338983,22.694915254237287,39.5
1.0,52.0,88.46440677966102,22.694915254237287,39.3
1.0,53.0,88.46949152542373,22.694915254237287,37.9
1.0,54.0,88.47457627118644,22.694915254237287,38.0
1.0,55.0,88.47966101694915,22.694915254237287,37.4
1.0,56.0,88.48474576271187,22.694915254237287,36.2
1.0,57.0,88.48983050847458,22.694915254237287,41.8
1.0,58.0,88.49491525423728,22.694915254237287,37.2
1.0,59.0,88.5,22.694915254237287,37.9
2.0,0.0,88.2,22.689830508474575,36.2
2.0,1.0,88.20508474576272,22.689830508474575,36.3
2.0,2.0,88.21016949152542,22.689830508474575,36.2
2.0,3.0,88.21525423728814,22.689830508474575,35.5
2.0,4.0,88.22033898305085,22.689830508474575,35.5
2.0,5.0,88.22542372881357,22.689830508474575,35.9
2.0,6.0,88.23050847457627,22.689830508474575,33.5
2.0,7.0,88.23559322033898,22.689830508474575,34.9
2.0,8.0,88.2406779661017,22.689830508474575,35.4
2.0,9.0,88.24576271186442,22.689830508474575,36.5
2.0,10.0,88.25084745762712,22.689830508474575,34.1
2.0,11.0,88.25593220338983,22.689830508474575,35.4
2.0,12.0,88.26101694915255,22.689830508474575,33.9
2.0,13.0,88.26610169491525,22.689830508474575,35.6
2.0,14.0,88.27118644067797,22.689830508474575,35.9
2.0,15.0,88.27627118644068,22.689830508474575,35.5
2.0,16.0,88.2813559322034,22.689830508474575,36.7
2.0,17.0,88.2864406779661,22.689830508474575,36.8
2.0,18.0,88.29152542372881,22.689830508474575,39.2
2.0,19.0,88.29661016949153,22.689830508474575,42.5
2.0,20.0,88.30169491525425,22.689830508474575,42.0
2.0,21.0,88.30677966101695,22.689830508474575,37.1
2.0,22.0,88.31186440677966,22.689830508474575,33.4
2.0,23.0,88.31694915254238,22.689830508474575,34.2
2.0,24.0,88.32203389830508,22.689830508474575,33.9
2.0,25.0,88.3271186440678,22.689830508474575,33.3
2.0,26.0,88.33220338983051,22.689830508474575,33.7
2.0,27.0,88.33728813559323,22.689830508474575,33.7
2.0,28.0,88.34237288135593,22.689830508474575,37.2
2.0,29.0,88.34745762711864,22.689830508474575,37.5
2.0,30.0,88.35254237288136,22.689830508474575,38.8
2.0,31.0,88.35762711864407,22.689830508474575,35.6
2.0,32.0,88.36271186440678,22.689830508474575,30.4
2.0,33.0,88.36779661016949,22.689830508474575,38.3
2.0,34.0,88.37288135593221,22.689830508474575,36.6
2.0,35.0,88.37796610169492,22.689830508474575,38.5
2.0,36.0,88.38305084745762,22.689830508474575,38.6
2.0,37.0,88.38813559322034,22.689830508474575,37.6
2.0,38.0,88.39322033898306,22.689830508474575,38.1
2.0,39.0,88.39830508474576,22.689830508474575,34.7
2.0,40.0,88.40338983050847,22.689830508474575,37.3
2.0,41.0,88.40847457627119,22.689830508474575,38.6
2.0,42.0,88.4135593220339,22.689830508474575,38.6
2.0,43.0,88.4186440677966,22.689830508474575,37.8
2.0,44.0,88.42372881355932,22.689830508474575,39.4
2.0,45.0,88.42881355932204,22.689830508474575,38.1
2.0,46.0,88.43389830508475,22.689830508474575,36.7
2.0,47.0,88.43898305084745,22.689830508474575,38.6
2.0,48.0,88.44406779661017,22.689830508474575,38.4
2.0,49.0,88.44915254237289,22.689830508474575,38.2
2.0,50.0,88.45423728813559,22.689830508474575,37.6
2.0,51.0,88.4593220338983,22.689830508474575,37.3
2.0,52.0,88.46440677966102,22.689830508474575,39.0
2.0,53.0,88.46949152542373,22.689830508474575,38.3
2.0,54.0,88.47457627118644,22.689830508474575,38.4
2.0,55.0,88.47966101694915,22.689830508474575,37.4
2.0,56.0,88.48474576271187,22.689830508474575,36.4
2.0,57.0,88.48983050847458,22.689830508474575,36.6
2.0,58.0,88.49491525423728,22.689830508474575,35.4
2.0,59.0,88.5,22.689830508474575,36.2
3.0,0.0,88.2,22.684745762711863,36.4
3.0,1.0,88.20508474576272,22.684745762711863,37.2
3.0,2.0,88.21016949152542,22.684745762711863,34.2
3.0,3.0,88.21525423728814,22.684745762711863,35.1
3.0,4.0,88.22033898305085,22.684745762711863,34.5
3.0,5.0,88.22542372881357,22.684745762711863,35.5
3.0,6.0,88.23050847457627,22.684745762711863,34.8
3.0,7.0,88.23559322033898,22.684745762711863,37.1
3.0,8.0,88.2406779661017,22.684745762711863,35.4
3.0,9.0,88.24576271186442,22.684745762711863,36.7
3.0,10.0,88.25084745762712,22.684745762711863,36.3
3.0,11.0,88.25593220338983,22.684745762711863,35.1
3.0,12.0,88.26101694915255,22.684745762711863,35.0
3.0,13.0,88.26610169491525,22.684745762711863,36.6
3.0,14.0,88.27118644067797,22.684745762711863,35.5
3.0,15.0,88.27627118644068,22.684745762711863,36.2
3.0,16.0,88.2813559322034,22.684745762711863,36.8
3.0,17.0,88.2864406779661,22.684745762711863,38.9
3.0,18.0,88.29152542372881,22.684745762711863,38.0
3.0,19.0,88.29661016949153,22.684745762711863,37.8
3.0,20.0,88.30169491525425,22.684745762711863,36.0
3.0,21.0,88.30677966101695,22.684745762711863,39.1
3.0,22.0,88.31186440677966,22.684745762711863,34.5
3.0,23.0,88.31694915254238,22.684745762711863,34.6
3.0,24.0,88.32203389830508,22.684745762711863,34.4
3.0,25.0,88.3271186440678,22.684745762711863,32.1
3.0,26.0,88.33220338983051,22.684745762711863,31.3
3.0,27.0,88.33728813559323,22.684745762711863,37.6
3.0,28.0,88.34237288135593,22.684745762711863,40.2
3.0,29.0,88.34745762711864,22.684745762711863,37.5
3.0,30.0,88.35254237288136,22.684745762711863,39.3
3.0,31.0,88.35762711864407,22.684745762711863,31.3
3.0,32.0,88.36271186440678,22.684745762711863,30.2
3.0,33.0,88.36779661016949,22.684745762711863,38.7
3.0,34.0,88.37288135593221,22.684745762711863,38.9
3.0,35.0,88.37796610169492,22.684745762711863,38.4
3.0,36.0,88.38305084745762,22.684745762711863,37.5
3.0,37.0,88.38813559322034,22.684745762711863,37.6
3.0,38.0,88.39322033898306,22.684745762711863,37.4
3.0,39.0,88.39830508474576,22.684745762711863,37.5
3.0,40.0,88.40338983050847,22.684745762711863,37.6
3.0,41.0,88.40847457627119,22.684745762711863,38.1
3.0,42.0,88.4135593220339,22.684745762711863,35.2
3.0,43.0,88.4186440677966,22.684745762711863,37.8
3.0,44.0,88.42372881355932,22.684745762711863,35.3
3.0,45.0,88.42881355932204,22.684745762711863,37.4
3.0,46.0,88.43389830508475,22.684745762711863,36.5
3.0,47.0,88.43898305084745,22.684745762711863,38.2
3.0,48.0,88.44406779661017,22.684745762711863,39.1
3.0,49.0,88.44915254237289,22.684745762711863,37.4
3.0,50.0,88.45423728813559,22.684745762711863,36.7
3.0,51.0,88.4593220338983,22.684745762711863,36.8
3.0,52.0,88.46440677966102,22.684745762711863,38.3
3.0,53.0,88.46949152542373,22.684745762711863,39.0
3.0,54.0,88.47457627118644,22.684745762711863,36.9
3.0,55.0,88.47966101694915,22.684745762711863,35.8
3.0,56.0,88.48474576271187,22.684745762711863,36.7
3.0,57.0,88.48983050847458,22.684745762711863,38.7
3.0,58.0,88.49491525423728,22.684745762711863,38.8
3.0,59.0,88.5,22.684745762711863,38.2
4.0,0.0,88.2,22.67966101694915,35.0
4.0,1.0,88.20508474576272,22.67966101694915,35.6
4.0,2.0,88.21016949152542,22.67966101694915,34.7
4.0,3.0,88.21525423728814,22.67966101694915,34.8
4.0,4.0,88.22033898305085,22.67966101694915,34.0
4.0,5.0,88.22542372881357,22.67966101694915,33.2
4.0,6.0,88.23050847457627,22.67966101694915,34.5
4.0,7.0,88.23559322033898,22.67966101694915,33.5
4.0,8.0,88.2406779661017,22.67966101694915,32.4
4.0,9.0,88.24576271186442,22.67966101694915,36.4
4.0,10.0,88.25084745762712,22.67966101694915,35.8
4.0,11.0,88.25593220338983,22.67966101694915,37.0
4.0,12.0,88.26101694915255,22.67966101694915,36.0
4.0,13.0,88.26610169491525,22.67966101694915,35.2
4.0,14.0,88.27118644067797,22.67966101694915,35.7
4.0,15.0,88.27627118644068,22.67966101694915,36.2
4.0,16.0,88.2813559322034,22.67966101694915,37.2
4.0,17.0,88.2864406779661,22.67966101694915,36.7
4.0,18.0,88.29152542372881,22.67966101694915,39.1
4.0,19.0,88.29661016949153,22.67966101694915,38.7
4.0,20.0,88.30169491525425,22.67966101694915,41.1
4.0,21.0,88.30677966101695,22.67966101694915,39.4
4.0,22.0,88.31186440677966,22.67966101694915,35.3
4.0,23.0,88.31694915254238,22.67966101694915,35.7
4.0,24.0,88.32203389830508,22.67966101694915,33.8
4.0,25.0,88.3271186440678,22.67966101694915,34.8
4.0,26.0,88.33220338983051,22.67966101694915,31.4
4.0,27.0,88.33728813559323,22.67966101694915,38.9
4.0,28.0,88.34237288135593,22.67966101694915,40.1
4.0,29.0,88.34745762711864,22.67966101694915,39.8
4.0,30.0,88.35254237288136,22.67966101694915,39.6
4.0,31.0,88.35762711864407,22.67966101694915,30.2
4.0,32.0,88.36271186440678,22.67966101694915,30.6
4.0,33.0,88.36779661016949,22.67966101694915,43.1
4.0,34.0,88.37288135593221,22.67966101694915,44.1
4.0,35.0,88.37796610169492,22.67966101694915,44.1
4.0,36.0,88.38305084745762,22.67966101694915,39.8
4.0,37.0,88.38813559322034,22.67966101694915,41.3
4.0,38.0,88.39322033898306,22.67966101694915,37.4
4.0,39.0,88.39830508474576,22.67966101694915,38.2
