r,c,ndvi
0.0,0.0,0.687
0.0,1.0,0.684
0.0,2.0,0.65
0.0,3.0,0.648
0.0,4.0,0.703
0.0,5.0,0.546
0.0,6.0,0.697
0.0,7.0,0.721
0.0,8.0,0.691
0.0,9.0,0.584
0.0,10.0,0.643
0.0,11.0,0.658
0.0,12.0,0.664
0.0,13.0,0.522
0.0,14.0,0.727
0.0,15.0,0.621
0.0,16.0,0.573
0.0,17.0,0.437
0.0,18.0,0.656
0.0,19.0,0.635
0.0,20.0,0.454
0.0,21.0,0.559
0.0,22.0,0.709
0.0,23.0,0.525
0.0,24.0,0.457
0.0,25.0,0.469
0.0,26.0,0.516
0.0,27.0,0.482
0.0,28.0,0.455
0.0,29.0,0.36
0.0,30.0,0.393
0.0,31.0,0.379
0.0,32.0,-0.13
0.0,33.0,0.427
0.0,34.0,0.267
0.0,35.0,0.312
0.0,36.0,0.402
0.0,37.0,0.245
0.0,38.0,0.412
0.0,39.0,0.407
0.0,40.0,0.412
0.0,41.0,0.496
0.0,42.0,0.542
0.0,43.0,0.312
0.0,44.0,0.723
0.0,45.0,0.395
0.0,46.0,0.31
0.0,47.0,0.545
0.0,48.0,0.392
0.0,49.0,0.397
0.0,50.0,0.526
0.0,51.0,0.386
0.0,52.0,0.339
0.0,53.0,0.502
0.0,54.0,0.6
0.0,55.0,0.672
0.0,56.0,0.548
0.0,57.0,0.429
0.0,58.0,0.417
0.0,59.0,0.585
1.0,0.0,0.746
1.0,1.0,0.603
1.0,2.0,0.58
1.0,3.0,0.649
1.0,4.0,0.72
1.0,5.0,0.629
1.0,6.0,0.503
1.0,7.0,0.585
1.0,8.0,0.676
1.0,9.0,0.699
1.0,10.0,0.751
1.0,11.0,0.469
1.0,12.0,0.622
1.0,13.0,0.691
1.0,14.0,0.672
1.0,15.0,0.622
1.0,16.0,0.533
1.0,17.0,0.459
1.0,18.0,0.343
1.0,19.0,0.69
1.0,20.0,0.509
1.0,21.0,0.632
1.0,22.0,0.64
1.0,23.0,0.578
1.0,24.0,0.655
1.0,25.0,0.616
1.0,26.0,0.288
1.0,27.0,0.536
1.0,28.0,0.388
1.0,29.0,0.427
1.0,30.0,0.463
1.0,31.0,0.334
1.0,32.0,-0.14
1.0,33.0,0.4
1.0,34.0,0.231
1.0,35.0,0.371
1.0,36.0,0.418
1.0,37.0,0.662
1.0,38.0,0.237
1.0,39.0,0.343
1.0,40.0,0.32
1.0,41.0,0.352
1.0,42.0,0.608
1.0,43.0,0.388
1.0,44.0,0.517
1.0,45.0,0.45
1.0,46.0,0.452
1.0,47.0,0.367
1.0,48.0,0.385
1.0,49.0,0.396
1.0,50.0,0.379
1.0,51.0,0.252
1.0,52.0,0.269
1.0,53.0,0.346
1.0,54.0,0.403
1.0,55.0,0.423
1.0,56.0,0.475
1.0,57.0,0.451
1.0,58.0,0.486
